title,company,description,required_skills,category,experience_level,date,channel,message_id
የሥራ ቦታ,hahujobs,"**Florist **#bettys_organic#business#Addis_AbabaBachelor's Degree In any field of study with relevant work experience with relevant work experience.Duties & Responsibilities:- Designing and creating a wide variety of floral arrangements (bouquets, centerpieces, and gift baskets).- Providing excellent customer service and assisting clients with their selections. - Ensuring the freshness and quality of flowers through proper care, pruning, and watering.- Managing shop inventory and maintaining a c",excel,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158802
የሥራ ቦታ,gmail,"**HR Training and Recuirement Officer**#shangtex_garment_manufacturing_ethiopia_plc#business#Addis_AbabaBachelor's Degree In Human Resources Management, Business Administration, Management, Psychology, Law or with related field of study with relevant work experience. Duties & Responsibilities:- Advertising open positions, and managing the recruitment process- Orienting new employees and providing training for existing employees- Ensuring a positive and productive work environment for all employe","excel, communication",💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158801
የሥራ ቦታ,hahujobs,"**Senior Marketing & Talent Promotion Officer**#lela_creative_management_agency_plc#business#Addis_AbabaBachelor's Degree or Masters in Marketing, Media, Communications, or related field of study with relevant work experience.Duties & Responsibilities:- Plan and execute advanced digital marketing campaigns (social media, ads, content)- Identify, manage, and promote artistic talents (models, influencers, creatives, etc.)- Develop branding and online presence for talents and the agency- Manage pla",communication,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158800
የሥራ ቦታ,hahujobs,"**Driver VI (High Bed ****/Low**** Bed)**#ethiopian_engineering_corporation#transportation_and_logistics#Addis_Ababa10 ኛ ክፍል/12ተኛ ክፍል ያጠናቀቀ እና 5ተኛ ደረጃ መንጃ ፈቃድ ያለው አግባብ ከሆነ የስራ ልምድ ጋርዋና ሀላፊነቶች- ተሽከርካሪን በጥንቃቄ መንዳት- ጭነትን መጫን፣ መውረድና መጠንቀቅ- ከመጓጓዝ በፊትና በሀላ ተሽከርካሪ መመርመር- የጭነት ሰነዶችን መሙላትና መያዝ- ከሎጂስቲክስ እና ከቢሮ ጋር መግናኘት- የመንገድ ደህንነት ህጐችን መከተል- ቀላል የመኪና ጥገና ማድረግ**Quanitity Required**: 10**Minimum Years Of Experience**: #10_years**Deadline:** March 27, 2026**How To Apply:** የማመልከቻ መመርያ፡ከላይ ያሉትን መስፈርቶች የምታሟሉ ",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158797
የሥራ ቦታ,hahujobs,"**Driver I**#ethiopian_engineering_corporation#transportation_and_logistics#Addis_Ababa12ኛ ክፍል ያጠናቀቀ እና 3ተኛ ደረጃ መንጃ ፈቃድ ያለው አግባብ ከሆነ የስራ ልምድ ጋርዋና ሀላፊነቶች- ተሽከርካሪን በጥንቃቄ መንዳት- ከመጓጓዝ በፊትና በሀላ ተሽከርካሪ መመርመር- የጭነት ሰነዶችን መሙላትና መያዝ- ከሎጂስቲክስ እና ከቢሮ ጋር መግናኘት- የመንገድ ደህንነት ህጐችን መከተል- ቀላል የመኪና ጥገና ማድረግ**Quanitity Required**: 10**Minimum Years Of Experience**: #2_years**Maximum Years Of Experience**: #6_years**Deadline:** March 27, 2026**How To Apply:** ከላይ ያሉትን መስፈርቶች የምታሟሉ አመልካቾች፣ የትምህርት ማስረጃችሁን እና የስራ ልምዳች",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158796
የሥራ ቦታ,hahujobs,**Driver V**#ethiopian_engineering_corporation#transportation_and_logistics#Addis_Ababa12ተኛ ክፍል ያጠናቀቀ እና ልዩ መንጃ ፈቃድ ያለው አግባብ ከሆነ የስራ ልምድ ጋርዋና ሀላፊነቶች- አስቸኳይ ምርመራ እና አስተዳደር እንዲኖረው መንገዶችን በትክክል መከታተል እና የነዳጅ አጠቃቀም እንዲቀነስ ማድረግ።- ከጉዞ በፊት እና ከጉዞ በሀላ መኪናዎችን መፈተሽ- ሁሉንም የመንገድ ህጐች፣ ደህንነት ደንቦች እና የድርጅቱን ፖሊሲዎች መከታተል።- የተመደቡትን መኪናዎች ንጹህ እንዲሆኑ እና በትክክል እንዲጠበቁ ማረጋገጥ፡፡- ከመጓጓዝ በፊትና በሀላ ተሽከርካሪ መመርመር- የጭነት ሰነዶችን መሙላትና መያዝ- ከሎጂስቲክስ እና ከቢሮ ጋር መግናኘት**Quanitity Required**: 10**Minimum Years Of Experience**: #4_years**,ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158795
የሥራ ቦታ,hahujobs,"**Driver IV**#ethiopian_engineering_corporation#transportation_and_logistics#Addis_Ababa12ተኛ ክፍል ያጠናቀቀ እና 4ተኛ ደረጃ መንጃ ፈቃድ ያለው አግባብ ከሆነ የስራ ልምድ ጋርዋና ሀላፊነቶች- ተሽከርካሪን በጥንቃቄ መንዳት- ከመጓጓዝ በፊትና በሀላ ተሽከርካሪ መመርመር- የጭነት ሰነዶችን መሙላትና መያዝ- ከሎጂስቲክስ እና ከቢሮ ጋር መግናኘት- የመንገድ ደህንነት ህጐችን መከተል- ቀላል የመኪና ጥገና ማድረግ**Quanitity Required**: 10**Minimum Years Of Experience**: #2_years**Maximum Years Of Experience**: #6_years**Deadline:** March 27, 2026**How To Apply:** ከላይ ያሉትን መስፈርቶች የምታሟሉ አመልካቾች፣ የትምህርት ማስረጃችሁን እና የስራ ልም",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158794
የሥራ ቦታ,hahujobs,"**Project Manager**#mers_consulting_and_construction_plc#engineering#Addis_AbabaBachelor's Degree In Civil Engineering, Construction Management, or with related field of study with relevant work experience.Duties & Responsibilities:- Lead and manage overall site execution to ensure works progress according to approved schedules, specifications, and project targets- Monitor project schedules, daily progress, and resource utilization to maintain delivery targets- Oversee subcontractor performance ",communication,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158793
የሥራ ቦታ,gmail,"**Sales Person**#furniture_village_plc#business#Addis_AbabaBachelor's Degree or Diploma in Marketing Management, Marketing & Salesmanship or with related field of study with relevant work experience.Duties & Responsibilities:- Welcome and assist customers in the showroom and provide product information.- Promote and sell furniture products to meet or exceed sales targets.- Maintain strong customer relationships and ensure customer satisfaction.- Prepare quotations, invoices, and follow up on pay",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158792
የሥራ ቦታ,hahujobs,"**Assistant Transistor**#ocean_logistics_and_trading_plc#transportation_and_logisticsDegree or Diploma in any field of study with relevant work experienceDuties & Responsibilities:- Assist in preparing transit and customs documentation.-Support cargo clearance and shipment tracking.- Coordinate with customs authorities, freight forwarders, and transport companies.- Maintain records of shipment documents and logistics activities.- Assist in handling bill of lading, invoices, packing lists, and pe",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@hahujobs,158791
